tipo_plano|nome_plano|ods|nome_ods|eixo|numero_meta|texto_meta|indicador|descricao|variaveis|calculo|informacao|padrao
Setorial|Plano Municipal de Assistência Social|1|Erradicação da pobreza|Equidade, Justiça Social e Cultura de Paz|1.1|Até 2030, erradicar a pobreza extrema para todas as pessoas em todos os lugares, atualmente medida como pessoas vivendo com menos de US$ 1,25 por dia.|Distribuição de renda: até 1/2 salário mínimo|Distribuição percentual por faixas de renda (pessoas de 10 anos ou mais de idade).|1, 224|1 / 224 × [100]|As faixas utilizadas nesse indicador são: Até 1/2 salário mínimo, Mais de 1 a 2 salários mínimos, Mais de 1/2 a 1 salário mínimo, Mais de 10 a 20 salários mínimos, Mais de 2 a 5 salários mínimos, Mais de 20 salários mínimos, Mais de 5 a 10 salários mínimos e Sem rendimento.|True
Setorial|Plano Municipal de Assistência Social|1|Erradicação da pobreza|Equidade, Justiça Social e Cultura de Paz|1.1|Até 2030, erradicar a pobreza extrema para todas as pessoas em todos os lugares, atualmente medida como pessoas vivendo com menos de US$ 1,25 por dia.|Distribuição de renda: de 1/2 a 1 salário mínimo|Distribuição percentual por faixas de renda (pessoas de 10 anos ou mais de idade).|2, 224|2 / 224 × [100]|As faixas utilizadas nesse indicador são: Até 1/2 salário mínimo, Mais de 1 a 2 salários mínimos, Mais de 1/2 a 1 salário mínimo, Mais de 10 a 20 salários mínimos, Mais de 2 a 5 salários mínimos, Mais de 20 salários mínimos, Mais de 5 a 10 salários mínimos e Sem rendimento.|True
Setorial|Plano Municipal de Assistência Social|1|Erradicação da pobreza|Equidade, Justiça Social e Cultura de Paz|1.1|Até 2030, erradicar a pobreza extrema para todas as pessoas em todos os lugares, atualmente medida como pessoas vivendo com menos de US$ 1,25 por dia.|Distribuição de renda: de 1 a 2 salários mínimos|Distribuição percentual por faixas de renda (pessoas de 10 anos ou mais de idade).|3, 224|3 / 224 × [100]|As faixas utilizadas nesse indicador são: Até 1/2 salário mínimo, Mais de 1 a 2 salários mínimos, Mais de 1/2 a 1 salário mínimo, Mais de 10 a 20 salários mínimos, Mais de 2 a 5 salários mínimos, Mais de 20 salários mínimos, Mais de 5 a 10 salários mínimos e Sem rendimento.|True
Setorial|Plano Municipal de Assistência Social|1|Erradicação da pobreza|Equidade, Justiça Social e Cultura de Paz|1.1|Até 2030, erradicar a pobreza extrema para todas as pessoas em todos os lugares, atualmente medida como pessoas vivendo com menos de US$ 1,25 por dia.|Distribuição de renda: de 2 a 5 salários mínimos|Distribuição percentual por faixas de renda (pessoas de 10 anos ou mais de idade).|4, 224|4 / 224 × [100]|As faixas utilizadas nesse indicador são: Até 1/2 salário mínimo, Mais de 1 a 2 salários mínimos, Mais de 1/2 a 1 salário mínimo, Mais de 10 a 20 salários mínimos, Mais de 2 a 5 salários mínimos, Mais de 20 salários mínimos, Mais de 5 a 10 salários mínimos e Sem rendimento.|True
Setorial|Plano Municipal de Assistência Social|1|Erradicação da pobreza|Equidade, Justiça Social e Cultura de Paz|1.1|Até 2030, erradicar a pobreza extrema para todas as pessoas em todos os lugares, atualmente medida como pessoas vivendo com menos de US$ 1,25 por dia.|Distribuição de renda: de 5 a 10 salários mínimos|Distribuição percentual por faixas de renda (pessoas de 10 anos ou mais de idade).|5, 224|5 / 224 × [100]|As faixas utilizadas nesse indicador são: Até 1/2 salário mínimo, Mais de 1 a 2 salários mínimos, Mais de 1/2 a 1 salário mínimo, Mais de 10 a 20 salários mínimos, Mais de 2 a 5 salários mínimos, Mais de 20 salários mínimos, Mais de 5 a 10 salários mínimos e Sem rendimento.|True
Setorial|Plano Municipal de Assistência Social|1|Erradicação da pobreza|Equidade, Justiça Social e Cultura de Paz|1.1|Até 2030, erradicar a pobreza extrema para todas as pessoas em todos os lugares, atualmente medida como pessoas vivendo com menos de US$ 1,25 por dia.|Distribuição de renda: de 10 a 20 salários mínimos|Distribuição percentual por faixas de renda (pessoas de 10 anos ou mais de idade).|6, 224|6 / 224 × [100]|As faixas utilizadas nesse indicador são: Até 1/2 salário mínimo, Mais de 1 a 2 salários mínimos, Mais de 1/2 a 1 salário mínimo, Mais de 10 a 20 salários mínimos, Mais de 2 a 5 salários mínimos, Mais de 20 salários mínimos, Mais de 5 a 10 salários mínimos e Sem rendimento.|True
Setorial|Plano Municipal de Assistência Social|1|Erradicação da pobreza|Equidade, Justiça Social e Cultura de Paz|1.1|Até 2030, erradicar a pobreza extrema para todas as pessoas em todos os lugares, atualmente medida como pessoas vivendo com menos de US$ 1,25 por dia.|Distribuição de renda: recebe mais de 20 salários mínimos|Distribuição percentual por faixas de renda (pessoas de 10 anos ou mais de idade).|7, 224|7 / 224 × [100]|As faixas utilizadas nesse indicador são: Até 1/2 salário mínimo, Mais de 1 a 2 salários mínimos, Mais de 1/2 a 1 salário mínimo, Mais de 10 a 20 salários mínimos, Mais de 2 a 5 salários mínimos, Mais de 20 salários mínimos, Mais de 5 a 10 salários mínimos e Sem rendimento.|True
Setorial|Plano Municipal de Assistência Social|1|Erradicação da pobreza|Equidade, Justiça Social e Cultura de Paz|1.1|Até 2030, erradicar a pobreza extrema para todas as pessoas em todos os lugares, atualmente medida como pessoas vivendo com menos de US$ 1,25 por dia.|Distribuição de renda: sem rendimento|Distribuição percentual por faixas de renda (pessoas de 10 anos ou mais de idade).|8, 224|8 / 224 × [100]|As faixas utilizadas nesse indicador são: Até 1/2 salário mínimo, Mais de 1 a 2 salários mínimos, Mais de 1/2 a 1 salário mínimo, Mais de 10 a 20 salários mínimos, Mais de 2 a 5 salários mínimos, Mais de 20 salários mínimos, Mais de 5 a 10 salários mínimos e Sem rendimento.|True
Setorial|Plano Municipal de Assistência Social|1|Erradicação da pobreza|Equidade, Justiça Social e Cultura de Paz|1.1|Até 2030, erradicar a pobreza extrema para todas as pessoas em todos os lugares, atualmente medida como pessoas vivendo com menos de US$ 1,25 por dia.|População em situação de rua|Percentual da população em situação de rua sobre o total da população.|19, 285|285 / 19 x [100]|População em situação de rua: pessoas que não têm moradia e que pernoitam nas ruas, praças, calçadas, marquises, jardins, baixos de viadutos, terrenos baldios e áreas externas de imóveis.|True
Setorial|Plano Municipal de Assistência Social|1|Erradicação da pobreza|Equidade, Justiça Social e Cultura de Paz|1.2|Até 2030, reduzir pelo menos à metade a proporção de homens, mulheres e crianças, de todas as idades, que vivem em situação de pobreza, em todas as suas dimensões, de acordo com as definições nacionais.|Pessoas com renda de até 1/4 do salário mínimo|Percentual da população residente com 10 anos ou mais, com renda de até 1/4 do salário mínimo.|79, 224|79 / 224 x [100]||True
Setorial|Plano Municipal de Assistência Social|1|Erradicação da pobreza|Equidade, Justiça Social e Cultura de Paz|1.3|Implementar, em nível nacional, medidas e sistemas de proteção social adequados, para todos, incluindo pisos, e até 2030 atingir a cobertura substancial dos mais pobres e vulneráveis.|Valor total repassado às famílias beneficiárias do Programa Bolsa Família|Valor total repassado às famílias beneficiárias do Programa Bolsa Família no município.|4147|4147||True
Setorial|Plano Municipal de Assistência Social|1|Erradicação da pobreza|Equidade, Justiça Social e Cultura de Paz|1.3|Implementar, em nível nacional, medidas e sistemas de proteção social adequados, para todos, incluindo pisos, e até 2030 atingir a cobertura substancial dos mais pobres e vulneráveis.|Quantidade de famílias que recebem o benefício de superação da extrema pobreza|Percentual de famílias que recebem recursos dos programas de transferência de renda sobre o total de famílias que solicitam recursos dos programas de transferência de renda.|275, 276|275 / 276 x [100]||True
Setorial|Plano Municipal de Assistência Social|1|Erradicação da pobreza|Equidade, Justiça Social e Cultura de Paz|1.3|Implementar, em nível nacional, medidas e sistemas de proteção social adequados, para todos, incluindo pisos, e até 2030 atingir a cobertura substancial dos mais pobres e vulneráveis.|Famílias inscritas no Cadastro Único para programas sociais|Percentual de famílias residentes cadastradas no Cadastro Único com renda familiar per capita de até meio salário mínimo sobre o total de famílias cadastradas.|4056, 4057|4056 / 4057 x [100]||True
Setorial|Plano Municipal de Assistência Social|1|Erradicação da pobreza|Equidade, Justiça Social e Cultura de Paz|1.4|Até 2030, garantir que todos os homens e mulheres, particularmente os mais pobres e vulneráveis, tenham direitos iguais aos recursos econômicos, bem como o acesso a serviços básicos, propriedade e controle sobre a terra e outras formas de propriedade, herança, recursos naturais, novas tecnologias apropriadas e serviços financeiros, incluindo microfinanças.|Renda municipal detida pelos 20% mais pobres|Percentual da renda municipal detida pelos 20% mais pobres sobre a renda total de todas as faixas.|1401, 1402, 1403, 1404, 1405|1401 / ( 1401 + 1402 + 1403 + 1404 + 1405 ) x [100]||True
